ProjectName,FileName,Theorem,IncludeLemma,ProofStep,RelationNB,equivalence,implication,quantifier,logical,inequality,set,Success,PredictionStep
weak-up-to,../data/weak-up-to/Reductions.json,weak_refl,False,2,1,0,0,1,0,0,0,True,3.0
weak-up-to,../data/weak-up-to/Reductions.json,tau_weak,False,6,5,0,2,1,0,2,0,True,15.0
weak-up-to,../data/weak-up-to/Reductions.json,weak_tau,False,5,5,0,2,1,0,2,0,True,2.0
weak-up-to,../data/weak-up-to/Reductions.json,red_weak,False,3,3,0,1,1,0,1,0,True,4.0
weak-up-to,../data/weak-up-to/Reductions.json,taus_weak,False,6,5,0,2,1,0,2,0,False,0.0
weak-up-to,../data/weak-up-to/Reductions.json,weak_taus,False,8,5,0,2,1,0,2,0,False,0.0
weak-up-to,../data/weak-up-to/Reductions.json,Weak_ind,False,12,31,0,13,5,0,13,0,False,0.0
weak-up-to,../data/weak-up-to/WeakMonotonic.json,monotonic_wmonotonic,False,7,3,0,1,1,0,1,0,True,6.0
weak-up-to,../data/weak-up-to/WeakMonotonic.json,star_wmon,False,17,1,1,0,0,0,0,0,False,0.0
weak-up-to,../data/weak-up-to/WeakMonotonic.json,Comp_wmon,False,9,0,0,0,0,0,0,0,False,0.0
weak-up-to,../data/weak-up-to/WeakMonotonic.json,Union2_wmon,False,5,0,0,0,0,0,0,0,False,0.0
weak-up-to,../data/weak-up-to/WeakMonotonic.json,Union_wmon,False,5,0,0,0,0,0,0,0,False,0.0
weak-up-to,../data/weak-up-to/WeakMonotonic.json,UExp_wmon,False,7,3,1,0,1,0,1,0,False,0.0
weak-up-to,../data/weak-up-to/WeakMonotonic.json,UIter_wmon,False,4,0,0,0,0,0,0,0,False,0.0
weak-up-to,../data/weak-up-to/WeakMonotonic.json,Chaining_wmon,False,16,0,0,0,0,0,0,0,False,0.0
weak-up-to,../data/weak-up-to/WeakMonotonic.json,chaing_l_wmon,False,16,0,0,0,0,0,0,0,False,0.0
weak-up-to,../data/weak-up-to/Theory.json,phi,False,10,1,0,0,1,0,0,0,False,0.0
weak-up-to,../data/weak-up-to/Theory.json,monotonic_correct,False,2,0,0,0,0,0,0,0,False,0.0
weak-up-to,../data/weak-up-to/Theory.json,silent,False,6,1,0,0,1,0,0,0,False,0.0
weak-up-to,../data/weak-up-to/Theory.json,wmonotonic_correct_t,False,2,0,0,0,0,0,0,0,False,0.0
weak-up-to,../data/weak-up-to/Theory.json,visible,False,9,1,0,0,1,0,0,0,False,0.0
